item: ('arrowroot powder',), 0.001 
item: ('chicken base',), 0.001 
item: ('pork butt',), 0.001 
item: ('chinese mushroom',), 0.001 
item: ('ed peanut',), 0.001 
item: ('plantain',), 0.001 
item: ('pork loin roast',), 0.001 
item: ('turkey light meat',), 0.001 
item: ('bouillon cube',), 0.001 
item: ('penne',), 0.001 
item: ('guacamole',), 0.001 
item: ('see',), 0.001 
item: ('stem',), 0.001 
item: ('smooth peanut butter',), 0.001 
item: ('vegetable bouillon',), 0.001 
item: ('ground lamb',), 0.001 
item: ('spaghetti squash',), 0.001 
item: ('port wine',), 0.001 
item: ('ritz cracker',), 0.001 
item: ('beef sirloin',), 0.001 
item: ('oyster',), 0.001 
item: ('canadian bacon',), 0.001 
item: ('turmeric powder',), 0.001 
item: ('head lettuce',), 0.001 
item: ('sweet pickle relish',), 0.001 
item: ('lb chicken',), 0.001 
item: ('pearl onion',), 0.001 
item: ('mg sodium',), 0.001 
item: ('cauliflower floret',), 0.001 
item: ('french',), 0.001 
item: ('large egg',), 0.001 
item: ('lump crabmeat',), 0.001 
item: ('italian dressing',), 0.001 
item: ('mix',), 0.001 
item: ('large tomato',), 0.001 
item: ('plum sauce',), 0.001 
item: ('cheddar cheese soup',), 0.001 
item: ('mint sprig',), 0.001 
item: ('puff pastry',), 0.001 
item: ('whole almond',), 0.001 
item: ('instant dry milk',), 0.001 
item: ('thai basil',), 0.001 
item: ('vinegar cider',), 0.001 
item: ('yellow summer squash',), 0.001 
item: ('sodium chicken broth',), 0.001 
item: ('chili oil',), 0.001 
item: ('beef tenderloin',), 0.001 
item: ('round',), 0.001 
item: ('bouillon',), 0.001 
item: ('syrup',), 0.001 
item: ('miracle whip',), 0.001 
item: ('whole wheat',), 0.001 
item: ('white sauce',), 0.001 
item: ('black pea',), 0.001 
item: ('wheat bran',), 0.001 
item: ('original baking mix',), 0.001 
item: ('red chili s',), 0.001 
item: ('chicken leg',), 0.001 
item: ('pizza crust',), 0.001 
item: ('norma',), 0.001 
item: ('clove large garlic',), 0.001 
item: ('yellow split pea',), 0.001 
item: ('split pea',), 0.001 
item: ('round steak',), 0.001 
item: ('egg beater egg',), 0.001 
item: ('fat free chicken broth',), 0.001 
item: ('cranberry sauce',), 0.001 
item: ('biscuit',), 0.001 
item: ('ricotta',), 0.001 
item: ('almond extract',), 0.001 
item: ('rice flour',), 0.001 
item: ('veggie',), 0.001 
item: ('fat free parmesan cheese',), 0.001 
item: ('thyme sprig',), 0.001 
item: ('scotch bonnet',), 0.001 
item: ('double acting baking powder',), 0.001 
item: ('raspberry vinegar',), 0.001 
item: ('ginger ground',), 0.001 
item: ('zest lemon',), 0.001 
item: ('sprig curry leaf',), 0.001 
item: ('chunk',), 0.001 
item: ('medium potato',), 0.001 
item: ('tuna in oil',), 0.001 
item: ('brown mustard',), 0.001 
item: ('breast',), 0.001 
item: ('large',), 0.001 
item: ('white taste',), 0.001 
item: ('swiss chard',), 0.001 
item: ('cooking apple',), 0.001 
item: ('jalapeno chili',), 0.001 
item: ('madeira',), 0.001 
item: ('ground cayenne',), 0.001 
item: ('ne',), 0.001 
item: ('wheat',), 0.001 
item: ('parsley garnish',), 0.001 
item: ('goat cheese',), 0.001 
item: ('bread machine yeast',), 0.001 
item: ('butter bud',), 0.001 
item: ('can tuna',), 0.001 
item: ('corn meal',), 0.001 
item: ('dry mustard', 'catsup'), 0.001 
item: ('baking soda', 'vegetable cooking spray'), 0.001 
item: ('lime juice', 'lemongrass'), 0.001 
item: ('olive oil', 'dry sherry'), 0.001 
item: ('curry powder', 'chile'), 0.001 
item: ('taste', 'green pepper'), 0.001 
item: ('rice wine vinegar', 'black pepper'), 0.001 
item: ('allspice', 'thyme'), 0.001 
item: ('egg', 'cumin'), 0.001 
item: ('basil', 'bean'), 0.001 
item: ('curry powder', 'ground cinnamon'), 0.001 
item: ('dry sherry', 'vegetable stock'), 0.001 
item: ('sage', 'potato'), 0.001 
item: ('macaroni', 'milk'), 0.001 
item: ('sour cream', 'swiss cheese'), 0.001 
item: ('chive', 'bacon'), 0.001 
item: ('honey', 'buttermilk'), 0.001 
item: ('vegetable', 'potato'), 0.001 
item: ('red pepper', 'jalapeno'), 0.001 
item: ('turkey', 'cheese'), 0.001 
item: ('margarine', 'tomato sauce'), 0.001 
item: ('olive oil', 'clam'), 0.001 
item: ('bacon', 'worcestershire sauce'), 0.001 
